epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,18.1941,1.23534,0.792,1,0.65552,0.000367463,0.000367463,0.000367463
2,28.3528,0.65851,0.888,1,0.35988,0.000723188,0.000723188,0.000723188
3,38.8928,0.50685,0.892,1,0.25945,0.00106425,0.00106425,0.00106425
4,49.1069,0.44646,0.968,1,0.12429,0.00104501,0.00104501,0.00104501
5,59.5481,0.36492,0.976,1,0.07106,0.00102301,0.00102301,0.00102301
6,69.9122,0.35748,0.992,1,0.04036,0.00100101,0.00100101,0.00100101
7,80.6779,0.29903,0.972,1,0.09265,0.000979013,0.000979013,0.000979013
8,91.5584,0.26791,1,1,0.03148,0.000957015,0.000957015,0.000957015
9,102.54,0.23893,0.972,1,0.07011,0.000935018,0.000935018,0.000935018
10,113.397,0.22843,1,1,0.0167,0.00091302,0.00091302,0.00091302
11,124.148,0.19649,0.992,1,0.02565,0.000891022,0.000891022,0.000891022
12,135.388,0.20268,0.996,1,0.02967,0.000869024,0.000869024,0.000869024
13,145.306,0.16574,1,1,0.0095,0.000847026,0.000847026,0.000847026
14,156.009,0.1646,1,1,0.00725,0.000825029,0.000825029,0.000825029
15,167.049,0.14676,1,1,0.00715,0.000803031,0.000803031,0.000803031
16,178.088,0.14992,1,1,0.00461,0.000781033,0.000781033,0.000781033
17,188.937,0.12221,1,1,0.00331,0.000759035,0.000759035,0.000759035
18,199.892,0.12716,1,1,0.00412,0.000737037,0.000737037,0.000737037
19,210.313,0.12655,1,1,0.00205,0.00071504,0.00071504,0.00071504
20,221.049,0.10363,1,1,0.00158,0.000693042,0.000693042,0.000693042
21,231.62,0.10307,1,1,0.00189,0.000671044,0.000671044,0.000671044
22,242.436,0.08578,1,1,0.00102,0.000649046,0.000649046,0.000649046
23,253.249,0.08904,1,1,0.00109,0.000627048,0.000627048,0.000627048
24,263.711,0.09786,0.996,1,0.00557,0.000605051,0.000605051,0.000605051
25,275.561,0.07402,1,1,0.00262,0.000583053,0.000583053,0.000583053
26,286.761,0.07088,1,1,0.00256,0.000561055,0.000561055,0.000561055
27,298.097,0.06352,1,1,0.0017,0.000539057,0.000539057,0.000539057
28,308.919,0.06679,1,1,0.00103,0.000517059,0.000517059,0.000517059
29,319.493,0.07129,1,1,0.00051,0.000495062,0.000495062,0.000495062
30,330.927,0.06841,1,1,0.00121,0.000473064,0.000473064,0.000473064
31,341.082,0.08033,1,1,0.00027,0.000451066,0.000451066,0.000451066
32,351.744,0.05439,1,1,0.0003,0.000429068,0.000429068,0.000429068
33,362.421,0.04652,1,1,0.00178,0.00040707,0.00040707,0.00040707
34,373.301,0.05529,1,1,0.00033,0.000385073,0.000385073,0.000385073
35,383.833,0.04678,1,1,0.00026,0.000363075,0.000363075,0.000363075
36,394.636,0.04127,1,1,0.00109,0.000341077,0.000341077,0.000341077
37,405.421,0.03936,1,1,0.00017,0.000319079,0.000319079,0.000319079
38,416.928,0.03562,1,1,0.00022,0.000297081,0.000297081,0.000297081
39,427.742,0.03871,0.996,1,0.00384,0.000275084,0.000275084,0.000275084
40,438.873,0.05729,1,1,0.00196,0.000253086,0.000253086,0.000253086
41,499.39,0.0353,1,1,0.00023,0.000231088,0.000231088,0.000231088
42,510.503,0.04142,1,1,0.00013,0.00020909,0.00020909,0.00020909
43,521.202,0.0326,1,1,0.00014,0.000187092,0.000187092,0.000187092
44,531.986,0.04093,1,1,0.00033,0.000165095,0.000165095,0.000165095
45,542.909,0.03048,1,1,0.00045,0.000143097,0.000143097,0.000143097
46,553.81,0.03141,1,1,7e-05,0.000121099,0.000121099,0.000121099
47,564.419,0.03449,1,1,0.00011,9.91012e-05,9.91012e-05,9.91012e-05
48,575.291,0.03277,1,1,0.00019,7.71034e-05,7.71034e-05,7.71034e-05
49,585.997,0.02946,1,1,0.00021,5.51056e-05,5.51056e-05,5.51056e-05
50,596.974,0.02813,1,1,0.00024,3.31078e-05,3.31078e-05,3.31078e-05
